focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
mlp,6,fused,sw,0.5377108517418712,0.2893578557674047,0.6244653937854036,0.13728112073579313,24386.0,0.148
mlp,6,sp,sw,0.4750091329997331,0.2779612274707219,0.6244653937854036,0.13728112073579313,18626.5,0.0
mlp,7,fused,sp,0.6080069184293028,0.22476857051954183,0.5307753450792454,0.2566125998255551,31077.0,0.0015
mlp,7,fused,sw,0.6080069184293028,0.22476857051954183,0.6373305674218731,0.13181660577803278,26660.0,0.883
mlp,7,sp,sw,0.5307753450792454,0.2566125998255551,0.6373305674218731,0.13181660577803278,20848.0,0.0
mlp,8,fused,sp,0.6151128113397352,0.23789150504354825,0.5541848560479359,0.25950830634777794,30195.5,0.0135
mlp,8,fused,sw,0.6151128113397352,0.23789150504354825,0.6584361192391206,0.12763505068811595,25848.5,0.673
mlp,8,sp,sw,0.5541848560479359,0.25950830634777794,0.6584361192391206,0.12763505068811595,21221.0,0.0
mlp,9,fused,sp,0.6580586882816859,0.2242163959781511,0.5919574647032515,0.24026398879156302,31533.5,0.0
mlp,9,fused,sw,0.6580586882816859,0.2242163959781511,0.6693187240864784,0.12002853426907172,29563.0,0.029
mlp,9,sp,sw,0.5919574647032515,0.24026398879156302,0.6693187240864784,0.12002853426907172,22785.5,0.015000000000000001
mlp,10,fused,sp,0.6826514994227684,0.19582442236150055,0.609698434622267,0.2142220663519002,32104.0,0.0
mlp,10,fused,sw,0.6826514994227684,0.19582442236150055,0.6732206958583457,0.12943859568579844,29900.0,0.016
mlp,10,sp,sw,0.609698434622267,0.2142220663519002,0.6732206958583457,0.12943859568579844,22784.5,0.015000000000000001
mlp,11,fused,sp,0.6872038754324792,0.19557568563994257,0.6343058484311898,0.21753195350792978,30776.0,0.006
mlp,11,fused,sw,0.6872038754324792,0.19557568563994257,0.6762364182777059,0.12203143270702836,30449.0,0.007500000000000001
mlp,11,sp,sw,0.6343058484311898,0.21753195350792978,0.6762364182777059,0.12203143270702836,25091.5,0.341
mlp,12,fused,sp,0.688005793607629,0.20228592829891207,0.6464037825535098,0.1971784114160465,30395.5,0.012
mlp,12,fused,sw,0.688005793607629,0.20228592829891207,0.6789502479524612,0.12192266194471309,30210.5,0.012
mlp,12,sp,sw,0.6464037825535098,0.1971784114160465,0.6789502479524612,0.12192266194471309,25206.0,0.383
mlp,13,fused,sp,0.7162333057132195,0.18380349477543526,0.6708430779066984,0.17898650741593822,31179.0,0.0015
mlp,13,fused,sw,0.7162333057132195,0.18380349477543526,0.6811426139492286,0.12599695613778958,32458.0,0.0
mlp,13,sp,sw,0.6708430779066984,0.17898650741593822,0.6811426139492286,0.12599695613778958,26744.5,0.837
mlp,14,fused,sp,0.7164111027809221,0.1839422164250771,0.6694257682258823,0.18710458135889813,30985.5,0.0015
mlp,14,fused,sw,0.7164111027809221,0.1839422164250771,0.6909928902791912,0.12343694194009282,32118.0,0.0
mlp,14,sp,sw,0.6694257682258823,0.18710458135889813,0.6909928902791912,0.12343694194009282,26467.0,0.991
mlp,15,fused,sp,0.7351482058830572,0.176143422327437,0.6866717376842283,0.17326035200531065,31752.5,0.0
mlp,15,fused,sw,0.7351482058830572,0.176143422327437,0.688405503178954,0.12500848642858983,33811.0,0.0
mlp,15,sp,sw,0.6866717376842283,0.17326035200531065,0.688405503178954,0.12500848642858983,27855.0,0.325
mlp,16,fused,sp,0.7379780157098951,0.1699511146185357,0.6923430976135926,0.1691311296369726,31306.5,0.0015
mlp,16,fused,sw,0.7379780157098951,0.1699511146185357,0.7004264552871757,0.12364415103454923,32749.0,0.0
mlp,16,sp,sw,0.6923430976135926,0.1691311296369726,0.7004264552871757,0.12364415103454923,26919.5,0.742
mlp,17,fused,sp,0.7421766176630219,0.1675661667742767,0.7069728725301136,0.16254417043236322,30794.0,0.003
mlp,17,fused,sw,0.7421766176630219,0.1675661667742767,0.6974971429217552,0.1185369739353897,34083.5,0.0
mlp,17,sp,sw,0.7069728725301136,0.16254417043236322,0.6974971429217552,0.1185369739353897,28903.5,0.085
mlp,18,fused,sp,0.7475912925128125,0.1727603378921099,0.7059443107129786,0.15848587352760077,31886.0,0.0
mlp,18,fused,sw,0.7475912925128125,0.1727603378921099,0.7044251717667789,0.11969854685531722,34222.0,0.0
mlp,18,sp,sw,0.7059443107129786,0.15848587352760077,0.7044251717667789,0.11969854685531722,27777.5,0.352
mlp,19,fused,sp,0.7592041180041003,0.15602867360910466,0.717546995261017,0.15546038651336155,31337.5,0.0015
mlp,19,fused,sw,0.7592041180041003,0.15602867360910466,0.7015520233703435,0.12340092167737653,35275.0,0.0
mlp,19,sp,sw,0.717546995261017,0.15546038651336155,0.7015520233703435,0.12340092167737653,29400.0,0.039
mlp,20,fused,sp,0.7720111355951743,0.1468700175412757,0.7228534616236293,0.13913655963523652,32635.0,0.0
mlp,20,fused,sw,0.7720111355951743,0.1468700175412757,0.706350712142452,0.11911726143419041,35982.0,0.0
mlp,20,sp,sw,0.7228534616236293,0.13913655963523652,0.706350712142452,0.11911726143419041,28793.5,0.1
mlp,21,fused,sp,0.771403505506229,0.15114071351610409,0.7245171128931719,0.14530113474264147,32205.5,0.0
mlp,21,fused,sw,0.771403505506229,0.15114071351610409,0.7074188970714594,0.11934069431981531,35733.5,0.0
mlp,21,sp,sw,0.7245171128931719,0.14530113474264147,0.7074188970714594,0.11934069431981531,29235.0,0.051
mlp,22,fused,sp,0.7782968765987025,0.14419272123969848,0.7322776325273653,0.1347452761564857,32722.0,0.0
mlp,22,fused,sw,0.7782968765987025,0.14419272123969848,0.7093561057979072,0.11749083170869774,36641.0,0.0
mlp,22,sp,sw,0.7322776325273653,0.1347452761564857,0.7093561057979072,0.11749083170869774,29618.0,0.026
cnn,1,fused,sp,0.3678890689086356,0.28433212435138716,0.2253686183386041,0.25619969213008703,35100.5,0.0
cnn,1,fused,sw,0.3678890689086356,0.28433212435138716,0.5799637904557529,0.1723817291007731,14746.0,0.0
cnn,1,sp,sw,0.2253686183386041,0.25619969213008703,0.5799637904557529,0.1723817291007731,8058.0,0.0
cnn,2,fused,sp,0.49265140352034814,0.3118618746422614,0.36452437479228855,0.3042309620955769,33188.0,0.0
cnn,2,fused,sw,0.49265140352034814,0.3118618746422614,0.6590186906008306,0.15934610386683046,19865.5,0.0
cnn,2,sp,sw,0.36452437479228855,0.3042309620955769,0.6590186906008306,0.15934610386683046,12268.0,0.0
cnn,3,fused,sp,0.5827545295839701,0.2846420558694495,0.43948472304581016,0.3067004153628414,33887.0,0.0
cnn,3,fused,sw,0.5827545295839701,0.2846420558694495,0.7040286063118381,0.13214528569809136,21848.0,0.001
cnn,3,sp,sw,0.43948472304581016,0.3067004153628414,0.7040286063118381,0.13214528569809136,13339.0,0.0
cnn,4,fused,sp,0.6112048702062903,0.28943990624267485,0.5074197569088719,0.3116060414653429,32412.0,0.0
cnn,4,fused,sw,0.6112048702062903,0.28943990624267485,0.7386228362131206,0.13030435468654208,21690.5,0.001
cnn,4,sp,sw,0.5074197569088719,0.3116060414653429,0.7386228362131206,0.13030435468654208,14933.0,0.0
cnn,5,fused,sp,0.6668084879671697,0.23824197377833564,0.566872830830498,0.27361566816659005,32517.0,0.0
cnn,5,fused,sw,0.6668084879671697,0.23824197377833564,0.7604951021605048,0.11552983602631807,22059.0,0.002
cnn,5,sp,sw,0.566872830830498,0.27361566816659005,0.7604951021605048,0.11552983602631807,15432.0,0.0
cnn,6,fused,sp,0.6529576972807898,0.278745408889444,0.538953526676149,0.29515899865216794,33549.5,0.0
cnn,6,fused,sw,0.6529576972807898,0.278745408889444,0.7709922626175205,0.11417856466368642,22166.0,0.003
cnn,6,sp,sw,0.538953526676149,0.29515899865216794,0.7709922626175205,0.11417856466368642,13525.5,0.0
cnn,7,fused,sp,0.7146738321950681,0.21031442897973107,0.6078962957752977,0.25846414162753284,33653.5,0.0
cnn,7,fused,sw,0.7146738321950681,0.21031442897973107,0.7769093145510277,0.11893180432014495,23384.0,0.032
cnn,7,sp,sw,0.6078962957752977,0.25846414162753284,0.7769093145510277,0.11893180432014495,15450.0,0.0
cnn,8,fused,sp,0.7109759173868905,0.23772548292878698,0.6235372830677457,0.26623372257969186,33119.5,0.0
cnn,8,fused,sw,0.7109759173868905,0.23772548292878698,0.7857067087751908,0.10059349587660718,24554.5,0.184
cnn,8,sp,sw,0.6235372830677457,0.26623372257969186,0.7857067087751908,0.10059349587660718,16523.0,0.0
cnn,9,fused,sp,0.7345631103573992,0.22301548364288096,0.6595875924847069,0.24062639204223227,33743.5,0.0
cnn,9,fused,sw,0.7345631103573992,0.22301548364288096,0.7996262395535728,0.10039338314983484,25511.5,0.511
cnn,9,sp,sw,0.6595875924847069,0.24062639204223227,0.7996262395535728,0.10039338314983484,16185.5,0.0
cnn,10,fused,sp,0.7556289743407367,0.1909975185397184,0.6945311434290447,0.21565541439527516,32199.5,0.0
cnn,10,fused,sw,0.7556289743407367,0.1909975185397184,0.8060299829519423,0.09467817574990829,24762.0,0.237
cnn,10,sp,sw,0.6945311434290447,0.21565541439527516,0.8060299829519423,0.09467817574990829,17854.0,0.0
cnn,11,fused,sp,0.77007716165861,0.17756067848353635,0.6894955749930822,0.2228876216703517,33774.0,0.0
cnn,11,fused,sw,0.77007716165861,0.17756067848353635,0.8004167959803092,0.0937906475513916,26919.0,0.742
cnn,11,sp,sw,0.6894955749930822,0.2228876216703517,0.8004167959803092,0.0937906475513916,18389.5,0.0
cnn,12,fused,sp,0.7646075353134897,0.1795437335734347,0.6894065460979831,0.2107846129583213,33858.0,0.0
cnn,12,fused,sw,0.7646075353134897,0.1795437335734347,0.807213940699899,0.094045104405566,26063.5,0.787
cnn,12,sp,sw,0.6894065460979831,0.2107846129583213,0.807213940699899,0.094045104405566,16412.0,0.0
cnn,13,fused,sp,0.7913641895553177,0.16658203117724993,0.7211449411791043,0.18434950306120082,34934.0,0.0
cnn,13,fused,sw,0.7913641895553177,0.16658203117724993,0.8132136591164353,0.08573783720904733,28223.0,0.214
cnn,13,sp,sw,0.7211449411791043,0.18434950306120082,0.8132136591164353,0.08573783720904733,17759.0,0.0
cnn,14,fused,sp,0.789315345535593,0.160237784986164,0.7194737909016587,0.19444233860484042,33981.5,0.0
cnn,14,fused,sw,0.789315345535593,0.160237784986164,0.8162545053556446,0.0852854172371566,27346.5,0.53
cnn,14,sp,sw,0.7194737909016587,0.19444233860484042,0.8162545053556446,0.0852854172371566,18417.5,0.0
cnn,15,fused,sp,0.7985516339016501,0.1682764060564539,0.7340148159596153,0.19689087083618376,34551.5,0.0
cnn,15,fused,sw,0.7985516339016501,0.1682764060564539,0.8218938363540227,0.08870773316975777,27780.0,0.351
cnn,15,sp,sw,0.7340148159596153,0.19689087083618376,0.8218938363540227,0.08870773316975777,18460.5,0.0
cnn,16,fused,sp,0.8104450879309436,0.157965211547866,0.7375274548048473,0.19436531040473218,35222.0,0.0
cnn,16,fused,sw,0.8104450879309436,0.157965211547866,0.8275016129263583,0.08536694578961473,28723.0,0.111
cnn,16,sp,sw,0.7375274548048473,0.19436531040473218,0.8275016129263583,0.08536694578961473,18480.0,0.0
cnn,17,fused,sp,0.8080590950911385,0.16222478557823883,0.7356567465422924,0.19231948042705774,35347.0,0.0
cnn,17,fused,sw,0.8080590950911385,0.16222478557823883,0.8244542319854027,0.0871632314812922,29045.0,0.069
cnn,17,sp,sw,0.7356567465422924,0.19231948042705774,0.8244542319854027,0.0871632314812922,18140.5,0.0
cnn,18,fused,sp,0.8089220487593998,0.16099253206965924,0.7453576265312919,0.19450139844076125,34355.0,0.0
cnn,18,fused,sw,0.8089220487593998,0.16099253206965924,0.8254471365600543,0.08654805084195995,29425.5,0.037
cnn,18,sp,sw,0.7453576265312919,0.19450139844076125,0.8254471365600543,0.08654805084195995,20000.5,0.0
cnn,19,fused,sp,0.81446401190565,0.14920761565641336,0.7499070596995459,0.18997972946497535,34544.5,0.0
cnn,19,fused,sw,0.81446401190565,0.14920761565641336,0.8288381194094632,0.08724902090686364,28453.5,0.16
